,year,alchol,tabacco
1,1985,10.200,0
2,1986,10.300,0
3,1987,10.200,0
4,1988,9.500,2915.000
5,1989,9.500,3096.000
6,1990,9.100,3121.000
7,1991,8.800,3206.000
8,1992,8.900,3240.000
9,1993,8.700,3388.000
10,1994,9.100,3098.000
11,1995,8.900,3276.000
12,1996,9.100,3328.000
13,1997,8.900,3163.000
14,1998,8.700,3043.000
15,1999,9.200,2750.000
16,2000,8.900,2919.000
17,2001,8.500,2638.000
18,2002,9.200,2428.000
19,2003,9.300,2534.000
20,2004,9.300,2760.000
21,2005,9.000,2116.000
22,2006,9.200,2227.000
23,2007,9.300,2299.000
24,2008,9.500,2346.000
25,2009,8.900,2314.000
26,2010,9.000,2151.000
27,2011,8.900,2131.000
28,2012,9.100,2095.000
29,2013,8.700,2054.000
30,2014,8.900,2054.000
31,2015,9.100,1581.000
32,2016,8.700,1719.000
