행정구역별,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
서울특별시,16.7,10.4,9.1,9.4,13.6,16.5,18.7,19.9,17.3,20.3,21.6,26.1,26.2,26.9,23.8,25.6,24.7,23.2,23.0,21.3
부산광역시,19.3,12.6,12.8,15.7,15.9,22.0,27.1,26.8,22.5,25.7,27.4,32.1,32.9,31.9,30.0,29.0,28.7,29.0,27.2,26.3
대구광역시,16.6,15.8,12.5,10.7,14.4,19.9,22.0,22.6,20.5,22.9,25.4,29.3,29.7,29.6,24.2,26.8,25.2,26.8,24.2,24.9
인천광역시,17.9,14.9,14.0,13.2,16.9,24.7,20.4,24.6,22.5,23.6,27.0,31.2,32.2,32.8,31.2,30.6,29.1,27.4,26.5,24.0
광주광역시,11.9,13.1,11.1,10.1,13.7,17.7,19.6,19.2,16.7,22.9,21.5,28.4,30.7,26.5,25.4,22.6,23.8,21.4,23.2,22.6
대전광역시,17.1,14.1,13.2,13.1,16.1,21.0,23.0,25.7,22.2,24.2,22.7,31.1,29.2,29.7,25.3,23.9,26.8,27.0,24.8,22.5
울산광역시,20.4,13.0,12.2,14.9,13.8,21.8,19.0,20.2,16.2,18.9,21.9,24.8,24.4,25.6,23.2,24.8,25.4,24.3,23.5,24.4
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.6,19.7,18.1,22.5,23.9,17.7
경기도,17.3,13.0,12.7,13.9,18.1,21.7,22.2,24.0,20.6,22.2,24.1,28.9,29.5,30.5,27.0,27.9,25.7,25.3,23.0,22.9
강원도,28.7,21.6,19.3,24.5,27.8,38.2,35.7,35.4,31.6,37.6,38.4,43.6,44.4,45.2,38.3,38.5,36.8,35.3,32.2,30.6
충청북도,21.5,20.8,17.9,20.2,23.1,27.5,30.1,32.8,28.6,31.3,33.6,42.0,35.9,38.9,36.6,34.8,31.5,30.4,32.8,28.2
충청남도,23.6,23.4,22.8,23.7,23.5,31.0,34.0,36.0,32.0,37.3,35.4,45.8,44.6,44.9,37.2,37.4,36.5,35.1,32.1,31.7
전라북도,14.4,17.0,15.8,17.8,22.5,27.7,27.1,26.1,25.5,32.1,30.4,35.7,33.2,37.3,29.2,29.7,28.8,26.6,28.5,28.4
전라남도,15.8,20.6,15.5,15.3,21.6,25.4,25.6,24.1,22.8,25.2,26.8,31.3,33.9,33.9,31.3,30.8,29.4,30.8,29.7,25.1
경상북도,20.8,22.1,20.6,19.4,23.5,27.2,29.4,28.2,26.6,29.9,28.8,34.3,35.4,35.1,32.5,31.1,28.4,27.5,28.8,26.0
경상남도,23.9,18.4,16.1,17.9,22.1,26.2,27.8,27.6,25.9,29.2,28.9,31.5,32.0,32.2,26.9,27.3,26.5,26.3,27.2,24.9
제주특별자치도,27.5,21.1,16.5,18.4,17.9,27.2,23.7,27.9,20.6,25.1,28.9,32.6,31.4,31.0,31.5,32.9,27.2,24.5,24.0,26.7
