Month,keyword: suicide
2004-01,3
2004-02,6
2004-03,5
2004-04,7
2004-05,4
2004-06,4
2004-07,2
2004-08,3
2004-09,3
2004-10,4
2004-11,3
2004-12,3
2005-01,2
2005-02,9
2005-03,7
2005-04,5
2005-05,4
2005-06,4
2005-07,3
2005-08,3
2005-09,3
2005-10,2
2005-11,6
2005-12,4
2006-01,4
2006-02,2
2006-03,2
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,3
2006-11,3
2006-12,3
2007-01,5
2007-02,4
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,2
2007-08,2
2007-09,3
2007-10,3
2007-11,4
2007-12,2
2008-01,2
2008-02,2
2008-03,3
2008-04,3
2008-05,3
2008-06,3
2008-07,2
2008-08,2
2008-09,5
2008-10,10
2008-11,5
2008-12,4
2009-01,4
2009-02,2
2009-03,5
2009-04,6
2009-05,8
2009-06,4
2009-07,3
2009-08,2
2009-09,3
2009-10,3
2009-11,4
2009-12,6
2010-01,10
2010-02,7
2010-03,8
2010-04,8
2010-05,12
2010-06,11
2010-07,16
2010-08,9
2010-09,23
2010-10,100
2010-11,39
2010-12,82
2011-01,45
2011-02,9
2011-03,8
2011-04,10
2011-05,14
2011-06,10
2011-07,8
2011-08,7
2011-09,8
2011-10,10
2011-11,16
2011-12,15
2012-01,15
2012-02,31
2012-03,13
2012-04,9
2012-05,7
2012-06,12
2012-07,8
2012-08,11
2012-09,10
2012-10,8
2012-11,8
2012-12,7
2013-01,10
2013-02,6
2013-03,8
2013-04,10
2013-05,11
2013-06,13
2013-07,11
2013-08,14
2013-09,12
2013-10,20
2013-11,17
2013-12,23
2014-01,11
2014-02,8
2014-03,16
2014-04,9
2014-05,10
2014-06,10
2014-07,10
2014-08,9
2014-09,9
2014-10,9
2014-11,11
2014-12,9
2015-01,8
2015-02,9
2015-03,11
2015-04,14
2015-05,13
2015-06,11
2015-07,12
2015-08,10
2015-09,10
2015-10,11
2015-11,11
2015-12,11
2016-01,9
2016-02,10
2016-03,10
2016-04,10
2016-05,12
2016-06,12
2016-07,13
2016-08,12
2016-09,13
2016-10,12
2016-11,12
2016-12,11
2017-01,12
2017-02,10
2017-03,12
2017-04,12
2017-05,12
2017-06,11
2017-07,11
2017-08,12
2017-09,12
2017-10,11
2017-11,14
2017-12,17
2018-01,13
2018-02,12
2018-03,22
2018-04,14
2018-05,13
2018-06,13
2018-07,14
2018-08,13
2018-09,12
2018-10,13
2018-11,11
2018-12,11
2019-01,11
2019-02,10
2019-03,12
2019-04,12
2019-05,13
2019-06,14
2019-07,15
