,시점,연령(5세)별,계,남자,여자
1,1985,계,9.3,13.5,5.1
2,1985,10 - 14세,0.7,0.9,0.6
3,1985,15 - 19세,7.9,10.5,5.1
4,1985,20 - 24세,15.5,21.6,9.2
5,1985,25 - 29세,13.8,19.9,7.4
6,1985,30 - 34세,11.2,15.9,5.9
7,1985,35 - 39세,12.2,17.4,6.7
8,1985,40 - 44세,13.7,20.8,6.3
9,1985,45 - 49세,15.7,24.9,6.3
10,1985,50 - 54세,14.2,23.0,6.1
11,1985,55 - 59세,14.8,24.4,6.9
12,1985,60 - 64세,14.5,25.2,5.9
13,1985,65 - 69세,21.1,35.9,10.0
14,1985,70 - 74세,17.4,23.3,13.6
15,1985,75 - 79세,15.6,25.2,10.7
16,1985,80세이상,15.3,31.6,9.9
17,1986,계,8.6,12.8,4.5
18,1986,10 - 14세,0.6,0.9,0.3
19,1986,15 - 19세,7.3,9.8,4.7
20,1986,20 - 24세,13.1,19.0,6.9
21,1986,25 - 29세,13.4,19.2,7.4
22,1986,30 - 34세,11.7,16.5,6.6
23,1986,35 - 39세,10.6,14.6,6.1
24,1986,40 - 44세,12.9,20.5,4.8
25,1986,45 - 49세,13.0,20.6,5.2
26,1986,50 - 54세,13.9,22.1,6.2
27,1986,55 - 59세,13.2,21.5,6.5
28,1986,60 - 64세,14.4,26.7,4.7
29,1986,65 - 69세,13.4,24.2,5.4
30,1986,70 - 74세,18.3,30.2,10.8
31,1986,75 - 79세,17.6,37.9,7.6
32,1986,80세이상,15.0,33.4,8.9
33,1987,계,8.2,11.9,4.5
34,1987,10 - 14세,1.0,1.3,0.7
35,1987,15 - 19세,5.6,7.5,3.5
36,1987,20 - 24세,11.8,15.8,7.5
37,1987,25 - 29세,13.1,18.6,7.4
38,1987,30 - 34세,11.6,16.2,6.7
39,1987,35 - 39세,10.5,14.8,5.9
40,1987,40 - 44세,11.5,16.7,6.0
41,1987,45 - 49세,12.8,20.2,5.1
42,1987,50 - 54세,11.8,19.6,4.2
43,1987,55 - 59세,12.8,20.8,6.1
44,1987,60 - 64세,15.3,26.1,7.1
45,1987,65 - 69세,15.5,24.1,9.2
46,1987,70 - 74세,17.0,31.1,8.0
47,1987,75 - 79세,14.3,26.4,8.2
48,1987,80세이상,10.9,21.7,7.3
49,1988,계,7.3,10.4,4.1
50,1988,10 - 14세,0.7,0.7,0.6
51,1988,15 - 19세,6.7,8.6,4.7
52,1988,20 - 24세,10.8,15.6,5.8
53,1988,25 - 29세,10.7,15.2,6.0
54,1988,30 - 34세,9.3,13.7,4.7
55,1988,35 - 39세,10.1,13.8,6.2
56,1988,40 - 44세,8.7,13.2,3.9
57,1988,45 - 49세,11.3,17.3,5.1
58,1988,50 - 54세,10.5,16.6,4.5
59,1988,55 - 59세,8.7,12.6,5.5
60,1988,60 - 64세,9.4,15.3,5.0
61,1988,65 - 69세,14.6,22.5,8.7
62,1988,70 - 74세,14.8,24.6,8.6
63,1988,75 - 79세,18.5,27.7,13.7
64,1988,80세이상,13.2,22.1,10.2
65,1989,계,7.4,10.3,4.4
66,1989,10 - 14세,0.9,1.0,0.8
67,1989,15 - 19세,6.0,7.5,4.3
68,1989,20 - 24세,10.2,14.0,6.1
69,1989,25 - 29세,10.8,14.7,6.7
70,1989,30 - 34세,9.5,13.5,5.4
71,1989,35 - 39세,10.4,14.0,6.6
72,1989,40 - 44세,10.1,14.2,5.9
73,1989,45 - 49세,10.8,16.1,5.4
74,1989,50 - 54세,10.4,15.6,5.2
75,1989,55 - 59세,9.4,17.3,2.6
76,1989,60 - 64세,10.7,16.4,6.4
77,1989,65 - 69세,13.3,19.6,8.6
78,1989,70 - 74세,14.7,22.5,9.8
79,1989,75 - 79세,18.1,31.8,11.1
80,1989,80세이상,15.6,31.4,10.2
81,1990,계,7.6,10.5,4.7
82,1990,10 - 14세,1.1,1.4,0.7
83,1990,15 - 19세,6.3,8.4,3.9
84,1990,20 - 24세,10.5,13.5,7.3
85,1990,25 - 29세,10.3,13.1,7.4
86,1990,30 - 34세,9.7,13.0,6.2
87,1990,35 - 39세,10.5,14.8,5.9
88,1990,40 - 44세,8.8,12.1,5.4
89,1990,45 - 49세,11.5,17.8,5.0
90,1990,50 - 54세,10.6,16.9,4.4
91,1990,55 - 59세,11.5,18.0,5.8
92,1990,60 - 64세,11.2,18.9,5.4
93,1990,65 - 69세,14.4,22.1,8.9
94,1990,70 - 74세,13.2,22.2,7.4
95,1990,75 - 79세,12.7,18.1,10.0
96,1990,80세이상,18.2,36.4,11.7
97,1991,계,7.3,10.1,4.5
98,1991,10 - 14세,1.1,1.3,0.9
99,1991,15 - 19세,5.6,7.6,3.4
100,1991,20 - 24세,9.7,12.9,6.3
101,1991,25 - 29세,10.0,13.3,6.5
102,1991,30 - 34세,9.7,13.4,5.8
103,1991,35 - 39세,9.7,13.0,6.3
104,1991,40 - 44세,9.8,14.1,5.3
105,1991,45 - 49세,9.3,14.2,4.2
106,1991,50 - 54세,10.6,16.0,5.4
107,1991,55 - 59세,9.0,13.2,5.2
108,1991,60 - 64세,10.9,18.1,5.5
109,1991,65 - 69세,13.2,21.1,7.6
110,1991,70 - 74세,15.3,25.1,9.0
111,1991,75 - 79세,16.5,27.0,11.1
112,1991,80세이상,14.8,23.9,11.6
113,1992,계,8.3,11.5,5.0
114,1992,10 - 14세,1.2,1.2,1.2
115,1992,15 - 19세,7.2,9.5,4.7
116,1992,20 - 24세,9.6,12.8,6.3
117,1992,25 - 29세,10.4,14.7,5.9
118,1992,30 - 34세,11.5,15.4,7.3
119,1992,35 - 39세,10.7,14.7,6.5
120,1992,40 - 44세,10.5,14.8,6.0
121,1992,45 - 49세,11.7,16.3,7.0
122,1992,50 - 54세,12.1,18.9,5.5
123,1992,55 - 59세,12.2,20.3,4.8
124,1992,60 - 64세,11.7,18.1,6.8
125,1992,65 - 69세,16.7,27.8,9.0
126,1992,70 - 74세,18.0,29.5,10.6
127,1992,75 - 79세,16.0,22.6,12.5
128,1992,80세이상,15.0,26.2,11.1
129,1993,계,9.4,12.9,5.8
130,1993,10 - 14세,1.0,1.0,1.0
131,1993,15 - 19세,7.5,9.8,5.0
132,1993,20 - 24세,10.6,14.0,7.0
133,1993,25 - 29세,11.0,14.9,6.9
134,1993,30 - 34세,11.1,13.8,8.1
135,1993,35 - 39세,12.9,17.6,8.0
136,1993,40 - 44세,13.3,17.7,8.8
137,1993,45 - 49세,12.8,19.3,6.1
138,1993,50 - 54세,14.6,23.9,5.5
139,1993,55 - 59세,14.1,23.9,5.4
140,1993,60 - 64세,15.3,24.9,8.3
141,1993,65 - 69세,17.8,29.1,10.1
142,1993,70 - 74세,18.8,34.0,9.2
143,1993,75 - 79세,22.8,35.0,16.6
144,1993,80세이상,23.6,41.7,17.2
145,1994,계,9.5,12.8,6.1
146,1994,10 - 14세,1.3,1.2,1.5
